Run nr;Date;IC batch nr;Internal ctrl;IC SD;UCL=Ct+1SD;UCL=Ct+2SD;LCL=Ct-1SD;LCL=Ct-2SD;Remark;Run result
1;01/01/2025;241205062_IC;32,05;na;;;;;Testing new IC;
2;02/01/2025;241205062_IC;28,48;na;;;;;;
3;03/01/2025;241205062_IC;28,45;na;;;;;;
4;06/01/2025;241205062_IC;29,56;na;;;;;;
5;07/01/2025;241205062_IC;30,34;na;;;;;;
6;08/01/2025;241205062_IC;31,53;na;;;;;;
7;09/01/2025;241205062_IC;28,44;1,52;31,59;33,11;28,55;27,03; Calculated standard deviation from the 6 previous results from running the control.;Warning
8;10/01/2025;241205062_IC;28,64;1,52;31,59;33,11;28,55;27,03;;Passed
9;13/01/2025;241205062_IC;29,68;1,52;31,59;33,11;28,55;27,03;;Passed
10;14/01/2025;241205062_IC;28,52;1,52;31,59;33,11;28,55;27,03;;Warning
11;15/01/2025;241205062_IC;29,99;1,52;31,59;33,11;28,55;27,03;;Passed
12;16/01/2025;241205062_IC;30,75;1,52;31,59;33,11;28,55;27,03;;Passed
13;17/01/2025;241205062_IC;29,09;1,52;31,59;33,11;28,55;27,03;;Passed
14;20/01/2025;241205062_IC;31,39;1,52;31,59;33,11;28,55;27,03;;Passed
15;21/01/2025;241205062_IC;31,68;1,52;31,59;33,11;28,55;27,03;;Warning
16;22/01/2025;241205062_IC;31,98;1,52;31,59;33,11;28,55;27,03;;Warning
17;23/01/2025;241205062_IC;29,70;1,52;31,59;33,11;28,55;27,03;;Passed
18;24/01/2025;241205062_IC;29,86;1,52;31,59;33,11;28,55;27,03;;Passed
19;27/01/2025;241205062_IC;29,34;1,52;31,59;33,11;28,55;27,03;;Passed
20;28/01/2025;241205062_IC;29,63;1,23;31,59;33,11;28,55;27,03;Recalculate the SD and Calculate the control limit;Passed
21;29/01/2025;241205062_IC;28,08;1,23;31,59;33,11;28,55;27,03;;Warning
22;30/01/2025;241205062_IC;28,43;1,23;31,59;33,11;28,55;27,03;;Warning
23;31/01/2025;241205062_IC;28,69;1,23;31,59;33,11;28,55;27,03;;Passed
24;03/02/2025;241205062_IC;30,56;1,23;31,59;33,11;28,55;27,03;;Passed
25;04/02/2025;241205062_IC;30,43;1,23;31,59;33,11;28,55;27,03;;Passed
26;05/02/2025;241205062_IC;20,00;1,23;31,59;33,11;28,55;27,03;High positive sample in next well;Failed
27;06/02/2025;241205062_IC;29,72;1,23;31,59;33,11;28,55;27,03;;Passed
28;07/02/2025;241205062_IC;28,12;1,23;31,59;33,11;28,55;27,03;;Warning
29;10/02/2025;241205062_IC;31,30;1,23;31,59;33,11;28,55;27,03;;Passed
30;11/02/2025;241205062_IC;28,53;1,23;31,59;33,11;28,55;27,03;;Warning
31;12/02/2025;241205062_IC;28,33;1,23;31,59;33,11;28,55;27,03;;Warning
32;13/02/2025;241205062_IC;30,32;1,23;31,59;33,11;28,55;27,03;;Passed
33;14/02/2025;241205062_IC;29,20;1,23;31,59;33,11;28,55;27,03;;Passed
34;17/02/2025;241205062_IC;31,00;1,23;31,59;33,11;28,55;27,03;;Passed
35;18/02/2025;241205062_IC;28,31;1,23;31,59;33,11;28,55;27,03;;Warning
36;19/02/2025;241205062_IC;29,33;1,23;31,59;33,11;28,55;27,03;;Passed
37;20/02/2025;241205062_IC;29,04;1,23;31,59;33,11;28,55;27,03;;Passed
38;21/02/2025;241205062_IC;29,84;1,23;31,59;33,11;28,55;27,03;;Passed
39;24/02/2025;241205062_IC;29,47;1,23;31,59;33,11;28,55;27,03;;Passed
40;25/02/2025;241205062_IC;31,70;1,23;31,59;33,11;28,55;27,03;;Warning
41;26/02/2025;241205062_IC;31,88;1,23;31,59;33,11;28,55;27,03;;Warning
